servico,price,Estado,Cidade
boarding,67.0,RS,Porto Alegre
day_care,60.0,SP,Osasco
boarding,70.0,MG,Belo Horizonte
boarding,70.0,MG,Belo Horizonte
boarding,75.0,RJ,Rio De Janeiro
day_care,45.0,MG,Belo Horizonte
day_care,70.0,SP,Sao Paulo
boarding,100.0,RS,Porto Alegre
day_care,55.0,SP,Sao Paulo
boarding,65.0,SP,São José Do Rio Preto
boarding,80.0,PE,Recife
day_care,40.0,GO,Goianésia
pet_sitting,55.0,SP,Sao Paulo
pet_sitting,58.0,MG,Pouso Alegre
pet_sitting,30.0,SP,Santos
pet_sitting,25.0,RS,Passo Fundo
pet_sitting,70.0,CE,Fortaleza
pet_sitting,40.0,SC,Imbituba
pet_sitting,30.0,SP,Sao Paulo
pet_sitting,70.0,RJ,Rio De Janeiro
pet_sitting,55.0,GO,Goiania
pet_sitting,34.0,PA,Belém
pet_sitting,68.0,RJ,Rio De Janeiro
pet_sitting,65.0,SP,Jundiaí
pet_sitting,25.0,RJ,Macaé
pet_sitting,94.0,SP,Sao Paulo
pet_sitting,100.0,RJ,Rio De Janeiro
pet_sitting,40.0,MG,Governador Valadares
pet_sitting,25.0,RJ,Rio De Janeiro
pet_sitting,30.0,MG,Belo Horizonte
pet_sitting,70.0,RJ,Rio De Janeiro
pet_sitting,35.0,SC,Florianopolis
pet_sitting,35.0,SP,Osasco
pet_sitting,40.0,RS,Lajeado
pet_sitting,50.0,SC,Blumenau
pet_sitting,60.0,SP,Cotia
pet_sitting,60.0,SP,Pindamonhangaba
pet_sitting,45.0,MG,Belo Horizonte
pet_sitting,45.0,CE,Fortaleza
pet_sitting,55.0,DF,Brasília
pet_sitting,55.0,PR,Curitiba
pet_sitting,28.0,SP,Araraquara
pet_sitting,70.0,MG,Minas Gerais
pet_sitting,45.0,RS,Uruguaiana
pet_sitting,90.0,RJ,Rio De Janeiro
pet_sitting,50.0,SP,Sao Paulo
pet_sitting,40.0,RJ,Seropédica
pet_sitting,80.0,MG,Belo Horizonte
pet_sitting,40.0,SC,Florianopolis
pet_sitting,150.0,RJ,Cabo Frio
pet_sitting,75.0,DF,Brasília
pet_sitting,25.0,SP,Sao Paulo
pet_sitting,65.0,SP,Sao Paulo
pet_sitting,70.0,SP,Sao Paulo
pet_sitting,70.0,SP,Sao Paulo
pet_sitting,60.0,SP,Sao Paulo
pet_sitting,25.0,SP,Sao Paulo
pet_sitting,67.0,RJ,Rio De Janeiro
pet_sitting,50.0,DF,Brasília
pet_sitting,50.0,SP,Sao Paulo
pet_sitting,30.0,SP,Sao Paulo
pet_sitting,30.0,SP,Sao Paulo
pet_sitting,30.0,RS,Canoas
pet_sitting,30.0,RJ,Rio De Janeiro
pet_sitting,35.0,RJ,Rio De Janeiro
pet_sitting,30.0,RS,Canoas
pet_sitting,30.0,SP,Campinas
pet_sitting,30.0,RJ,Niteroi
pet_sitting,50.0,SP,Sao Paulo
pet_sitting,50.0,RJ,Rio De Janeiro
pet_sitting,35.0,RJ,Cabo Frio
pet_sitting,47.0,SP,Sao Paulo
pet_sitting,30.0,SP,Sao Paulo
pet_sitting,80.0,RJ,Rio De Janeiro
pet_sitting,80.0,RJ,Niteroi
pet_sitting,68.0,CE,Fortaleza
pet_sitting,40.0,RS,Porto Alegre
pet_sitting,60.0,DF,Brasília
pet_sitting,30.0,SP,Marília
pet_sitting,30.0,MG,Governador Valadares
pet_sitting,55.0,SP,Praia Grande
pet_sitting,80.0,SP,São Caetano Do Sul
pet_sitting,60.0,RJ,Rio De Janeiro
pet_sitting,65.0,RJ,Rio De Janeiro
boarding,90.0,SP,Santo_Andre
day_care,54.0,RJ,Rio De Janeiro
boarding,70.0,DF,Brasília
boarding,80.0,SP,Valinhos
boarding,45.0,AL,Maceió
day_care,85.0,PR,Maringá
day_care,60.0,SP,Sao Paulo
boarding,55.0,SP,Sao Paulo
boarding,100.0,RJ,Rio De Janeiro
day_care,65.0,SC,Itajaí
boarding,60.0,RJ,Niteroi
boarding,32.0,RJ,Niteroi
day_care,64.0,DF,Brasília
day_care,45.0,PR,Curitiba
boarding,65.0,RJ,Rio De Janeiro
boarding,65.0,RS,Novo Hamburgo
day_care,60.0,SP,Santo_Andre
day_care,40.0,RS,Uruguaiana
day_care,50.0,SC,Florianopolis
boarding,50.0,RS,Três Coroas
day_care,60.0,RJ,Rio De Janeiro
boarding,80.0,PR,Curitiba
boarding,80.0,PR,Curitiba
boarding,100.0,SP,Sorocaba
day_care,50.0,SP,Barueri
boarding,50.0,SC,Blumenau
day_care,45.0,PA,Belém
day_care,60.0,RJ,Rio De Janeiro
boarding,40.0,SC,Florianopolis
boarding,65.0,SP,Sao Paulo
boarding,45.0,MG,Juiz De Fora
boarding,90.0,SP,Campinas
day_care,40.0,RN,Mossoró
day_care,45.0,RJ,Rio De Janeiro
boarding,70.0,SP,Campinas
day_care,40.0,RJ,Rio De Janeiro
boarding,80.0,RJ,Rio De Janeiro
boarding,65.0,SP,Praia Grande
boarding,80.0,SP,Carapicuíba
boarding,40.0,MA,São Luís
day_care,50.0,SC,Palhoça
day_care,65.0,SP,Sao Paulo
boarding,110.0,RJ,Rio De Janeiro
day_care,55.0,SE,Aracaju
boarding,45.0,MG,Barbacena
boarding,45.0,DF,Brasília
day_care,50.0,SP,São José Dos Campos
boarding,90.0,SP,Sao Paulo
boarding,42.0,SP,Pres. Prudente
day_care,45.0,SP,São José Dos Campos
day_care,45.0,SP,Sao Paulo
boarding,85.0,RJ,Rio De Janeiro
boarding,95.0,SP,Sao Paulo
boarding,70.0,CE,Fortaleza
boarding,60.0,MG,Belo Horizonte
boarding,63.0,RS,Porto Alegre
day_care,45.0,RJ,Rio De Janeiro
day_care,70.0,RJ,Nova Iguaçu
boarding,45.0,SP,Hortolândia
day_care,60.0,MG,Belo Horizonte
boarding,90.0,SP,Mauá
boarding,60.0,SP,Sumaré
boarding,79.0,BA,Salvador
boarding,160.0,RJ,Rio De Janeiro
day_care,50.0,SP,Cotia
boarding,80.0,SP,Caraguatatuba
day_care,55.0,SP,Piracicaba
day_care,55.0,SP,São Carlos
boarding,75.0,ES,Vila Velha
boarding,65.0,SP,Mauá
boarding,80.0,SP,Sorocaba
boarding,45.0,PR,Curitiba
boarding,120.0,RJ,Rio De Janeiro
boarding,50.0,SP,Matão
day_care,56.0,MG,Belo Horizonte
day_care,80.0,PR,Curitiba
boarding,70.0,MS,Três Lagoas
boarding,50.0,SC,Chapecó
day_care,60.0,SP,Sao Paulo
day_care,45.0,MG,Contagem
day_care,45.0,SP,Sao Paulo
day_care,100.0,SP,Cotia
day_care,55.0,RJ,Rio De Janeiro
boarding,90.0,SP,Osasco
boarding,80.0,SC,Florianopolis
boarding,75.0,RJ,Niteroi
boarding,60.0,SP,Bauru
boarding,110.0,SP,Sao Paulo
boarding,120.0,SP,Sao Paulo
day_care,75.0,MG,Belo Horizonte
boarding,100.0,RJ,Rio De Janeiro
day_care,70.0,RJ,Niteroi
day_care,50.0,MG,Belo Horizonte
day_care,90.0,SP,Sao Paulo
day_care,70.0,SP,São José Dos Campos
boarding,70.0,SP,Carapicuíba
boarding,52.0,RS,Novo Hamburgo
boarding,79.0,RJ,Rio De Janeiro
day_care,60.0,RS,Gravataí
day_care,110.0,ES,Vitória
day_care,53.0,RJ,Rio De Janeiro
day_care,120.0,SP,Sao Paulo
boarding,50.0,SC,Criciúma
boarding,50.0,GO,Goiania
boarding,125.0,RS,Porto Alegre
day_care,70.0,SP,Sao Paulo
day_care,60.0,SP,Campinas
boarding,80.0,SP,Sao Paulo
boarding,80.0,RS,Caxias Do Sul
day_care,60.0,PR,Araucária
boarding,70.0,SC,Florianopolis
day_care,60.0,SP,Sao Paulo
day_care,85.0,RJ,Rio De Janeiro
boarding,50.0,SP,Sao Paulo
boarding,75.0,SP,Campinas
boarding,80.0,RJ,Rio De Janeiro
day_care,75.0,SP,Sao Paulo
boarding,80.0,DF,Brasília
boarding,65.0,SP,Jundiaí
day_care,50.0,SP,Carapicuíba
pet_sitting,100.0,SP,Cotia
pet_sitting,67.0,PR,Curitiba
pet_sitting,70.0,SC,Florianopolis
pet_sitting,65.0,RJ,Rio De Janeiro
pet_sitting,27.0,SP,Santos
pet_sitting,60.0,SP,Santo_Andre
pet_sitting,100.0,MG,Uberaba
pet_sitting,76.0,SP,Sao Paulo
pet_sitting,60.0,SC,Bombinhas
pet_sitting,35.0,SP,Barueri
pet_sitting,50.0,SC,Florianopolis
pet_sitting,80.0,SP,Sao Paulo
pet_sitting,60.0,SP,Sao Paulo
pet_sitting,80.0,CE,Fortaleza
pet_sitting,50.0,SC,Chapecó
pet_sitting,65.0,RJ,Rio De Janeiro
pet_sitting,55.0,BA,Salvador
pet_sitting,60.0,SP,Caçapava
pet_sitting,35.0,RJ,Rio De Janeiro
pet_sitting,50.0,RS,Porto Alegre
pet_sitting,40.0,SP,Sao Paulo
pet_sitting,50.0,GO,Goiania
pet_sitting,50.0,SP,Sao Paulo
pet_sitting,100.0,RJ,Teresópolis
pet_sitting,50.0,SP,Sao Paulo
pet_sitting,30.0,SP,Diadema
pet_sitting,35.0,DF,Brasília
pet_sitting,55.0,SP,Sao Paulo
pet_sitting,30.0,GO,Goiania
pet_sitting,40.0,RJ,Rio De Janeiro
day_care,60.0,SP,Sao Paulo
day_care,80.0,PR,Curitiba
boarding,100.0,SP,Sao Paulo
day_care,65.0,SP,Santo_Andre
day_care,45.0,PE,Recife
day_care,50.0,AM,Manaus
boarding,58.0,SP,Sao Paulo
day_care,70.0,SP,Jundiaí
boarding,65.0,PR,Curitiba
day_care,85.0,RJ,Rio De Janeiro
boarding,100.0,PB,João Pessoa
day_care,60.0,SP,Sao Paulo
day_care,30.0,DF,Brasília
boarding,55.0,MA,Imperatriz
boarding,80.0,RJ,Rio De Janeiro
boarding,65.0,SC,Antônio Carlos
boarding,55.0,SP,Sorocaba
day_care,80.0,PB,João Pessoa
day_care,50.0,SP,São José Dos Campos
day_care,50.0,RS,Caxias Do Sul
day_care,70.0,SP,Sao Paulo
day_care,60.0,SP,Sao Paulo
day_care,40.0,SP,Sao Paulo
boarding,55.0,SP,Sao Paulo
boarding,70.0,MG,Contagem
boarding,65.0,BA,Salvador
day_care,35.0,RS,Canoas
boarding,100.0,SP,Campinas
boarding,100.0,SC,Garopaba
boarding,70.0,MG,Belo Horizonte
boarding,60.0,MG,Uberlândia
boarding,90.0,SP,Santos
boarding,55.0,SP,Sao Paulo
boarding,55.0,SC,Florianopolis
boarding,50.0,SC,Blumenau
day_care,48.0,SC,Florianopolis
boarding,95.0,RJ,Rio De Janeiro
boarding,70.0,RJ,Rio De Janeiro
day_care,60.0,SP,Guarujá
boarding,66.0,RJ,Rio De Janeiro
boarding,45.0,RJ,Belford Roxo
boarding,65.0,PE,Recife
day_care,40.0,SP,Campinas
boarding,100.0,SP,Sao Paulo
boarding,70.0,SP,Sorocaba
day_care,45.0,MA,São Luís
boarding,60.0,SP,Diadema
boarding,95.0,AM,Manaus
day_care,35.0,RJ,Rio De Janeiro
boarding,55.0,GO,Goiania
boarding,80.0,PE,Recife
boarding,60.0,RS,Caxias Do Sul
boarding,45.0,PE,Recife
boarding,40.0,SP,São José Dos Campos
boarding,40.0,RS,Bagé
day_care,80.0,SP,Barueri
boarding,45.0,PR,Arapongas
day_care,40.0,MG,Belo Horizonte
boarding,65.0,MS,Campo Grande
day_care,70.0,SP,Osasco
day_care,50.0,SP,Praia Grande
boarding,100.0,SP,Olímpia
day_care,80.0,RJ,Rio De Janeiro
day_care,70.0,RJ,Rio De Janeiro
day_care,75.0,SP,Sao Paulo
day_care,70.0,RJ,Rio De Janeiro
boarding,79.0,SP,Taboão Da Serra
day_care,75.0,MG,Belo Horizonte
day_care,65.0,RJ,Rio De Janeiro
boarding,40.0,PR,Umuarama
boarding,50.0,MG,Igarapé
boarding,59.0,MG,Conselheiro Lafaiete
boarding,75.0,SC,Joinville
boarding,70.0,RJ,Rio De Janeiro
boarding,75.0,RS,Porto Alegre
boarding,54.0,SP,São José Dos Campos
day_care,40.0,SP,Sorocaba
day_care,50.0,RJ,Cabo Frio
day_care,89.0,SP,Taboão Da Serra
pet_sitting,40.0,RN,Mossoró
pet_sitting,57.0,SP,Sao Paulo
pet_sitting,30.0,BA,Lauro De Freitas
pet_sitting,40.0,RJ,Niteroi
pet_sitting,30.0,RJ,Rio De Janeiro
pet_sitting,30.0,SP,Sao Paulo
pet_sitting,60.0,SP,São José Dos Campos
pet_sitting,30.0,SP,Sao Paulo
pet_sitting,30.0,SP,Sao Paulo
pet_sitting,30.0,MG,Alfenas
pet_sitting,45.0,DF,Brasília
pet_sitting,30.0,SP,Pirapora Do Bom Jesus
pet_sitting,30.0,RS,Cachoeirinha
pet_sitting,70.0,PR,Curitiba
